Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
467.8362050056,0.0030302411,467.8362050056,-0.0001020837,467.8362050056,0.0030319601,467.8362050056,-1.9294686077,467.8362050056,-1081.9294686077,467.8362050056,1.3595820638,467.8362050056,-1.6182793117
467.8665473461,0.0029481257,467.8665473461,-0.0001997375,467.8665473461,0.0029548841,467.8665473461,-3.8759047977,467.8665473461,-1083.8759047977,467.8665473461,1.2590400370,467.8665473461,0.1743793238
467.9271504879,0.0028415132,467.9271504879,-0.0002464279,467.9271504879,0.0028521788,467.9271504879,-4.9565283246,467.9271504879,-1084.9565283246,467.9271504879,1.1478741528,467.9271504879,1.5268219431
467.9879257679,0.0025199755,467.9879257679,-0.0000975181,467.9879257679,0.0025218617,467.9879257679,-2.2161272507,467.9879257679,-1082.2161272507,467.9879257679,1.0235537176,467.9879257679,1.8310312588
468.0176234245,0.0023948596,468.0176234245,0.0003223732,468.0176234245,0.0024164596,468.0176234245,7.6665287121,468.0176234245,-1072.3334712879,468.0176234245,0.8856498840,468.0176234245,1.5859272186
468.0778799057,0.0029790056,468.0778799057,0.0005425034,468.0778799057,0.0030280000,468.0778799057,10.3209680387,468.0778799057,-1069.6790319613,468.0778799057,0.7356809523,468.0778799057,1.3034720582
468.1386373043,0.0033361824,468.1386373043,0.0000931460,468.1386373043,0.0033374825,468.1386373043,1.5992793659,468.1386373043,-1078.4007206341,468.1386373043,0.5781879835,468.1386373043,1.0420837125
468.1839382648,0.002858401,468.1839382648,-0.0006154626,468.1839382648,0.0029239101,468.1839382648,-12.1512447075,468.1839382648,-1092.1512447075,468.1839382648,0.4196873551,468.1839382648,0.3422247044
468.2138440609,0.0021534164,468.2138440609,-0.000323781,468.2138440609,0.0021776217,468.2138440609,-8.5507620610,468.2138440609,-1088.5507620610,468.2138440609,0.2651419339,468.2138440609,-0.708747831
468.2899336815,0.0020738281,468.2899336815,0.0006949671,468.2899336815,0.0021871768,468.2899336815,18.5266796996,468.2899336815,-1061.4733203004,468.2899336815,0.1208806083,468.2899336815,-1.3143382169
468.3347024918,0.0027344465,468.3347024918,0.000831478,468.3347024918,0.0028580681,468.3347024918,16.9132276564,468.3347024918,-1063.0867723436,468.3347024918,-0.0075763298,468.3347024918,-1.797430384
